rate,author,title
9.0,作者:本杰明·格雷厄姆/BenjaminGraham,聪明的投资者
9.0,作者:[美]彼得·考夫曼(编),穷查理宝典
9.0,作者:李娟,冬牧场
9.4,作者:[德]瓦尔特·莫尔斯,蓝熊船长的13条半命
9.0,作者:[英]吉米·哈利（JamesHerriot）,万物既伟大又渺小
9.0,作者:阿城,阿城精选集
9.1,作者:陈秋平/尚荣,金刚经心经坛经
9.1,作者:(美)保罗﹒萨缪尔森/（美）诺德豪斯,经济学
9.1,作者:泰戈尔,飞鸟集
9.1,作者:顾城,顾城的诗顾城的画
9.0,作者:[日]原研哉,设计中的设计|全本
9.0,作者:宗萨钦哲仁波切,佛教的见地与修道
9.0,作者:何兆武（口述）/文靖,上学记
9.3,作者:[德]叔本华,人生的智慧
9.0,作者:[俄]康·帕乌斯托夫斯基,金蔷薇
9.0,作者:志摩千岁,张国荣的时光
9.1,作者:汪曾祺,岁朝清供
9.2,作者:李允鉌,华夏意匠
9.1,作者:[英]吉米·哈利,万物刹那又永恒
9.0,作者:托尼•赖斯,发现之旅
9.0,出版社:中华书局,論語譯註
9.0,作者:梁漱溟,中国文化要义
8.9,作者:《巴黎评论》编辑部,巴黎评论·作家访谈Ⅰ
9.2,作者:鲁迅,野草
9.2,作者:瞿同祖,中国法律与中国社会
8.9,作者:南怀瑾,庄子諵譁（上）
9.1,作者:王力主编,古代汉语（第一册）
9.1,作者:C.S.路易斯,返璞归真
9.0,作者:（英）西蒙・辛格,费马大定理
9.0,"作者:[美]加来道雄（Kaku,M）",超越时空
9.3,作者:[清]沈德潛,古詩源
9.0,作者:于娟,此生未完成
9.0,作者:[葡萄牙]费尔南多·佩索阿,惶然录
9.0,作者:蒋勋,蒋勋说红楼梦（第一辑）
9.0,作者:[美]罗伯特·所罗门,大问题
9.2,作者:[阿根廷]豪·路·博尔赫斯,阿莱夫
8.9,作者:[俄罗斯]亚历山大·索尔仁尼琴,癌症楼
8.8,作者:八月长安,最好的我们
9.1,作者:[美]哈珀·李,杀死一只反舌鸟
9.2,作者:[美]罗伯特·麦基,故事
9.1,作者:[奥]维特根斯坦,逻辑哲学论
9.2,作者:[德]赫尔曼·黑塞,纳尔齐斯与歌尔德蒙
9.1,作者:(意)伊塔洛·卡尔维诺,新千年文学备忘录
9.1,作者:陈忠实,白鹿原
9.3,作者:[阿根廷]豪·路·博尔赫斯,博尔赫斯全集
9.0,作者:张爱玲,传奇(上下)
9.0,作者:[英]毛姆,人生的枷锁
9.0,作者:[美]法兰克·佛杜锡克著/吴程远译,神经外科的黑色喜剧
9.0,作者:叶广芩,采桑子
